Cross Lingual Text;Sentiment;
Sorry sir nim yella video nan nodidini yeno manku badidu nodona hantha download madidde e video nodi delete madidini sir thanks;Mixed_feelings;
Bro nin ello hogbutte bedu bro;Positive;
ಪೃಥ್ವಿ ಅಂಬರ್ ಏನ್  ಗುರೂ ನೀನು national award winning actor ಗುರೂ ನೀನು.ನಿನ್ನ ನಟನೆಗೆ ನಾನಂತೂ ಫ್ಯಾನ್ ಮಾರಾಯ.ಎಷ್ಠು ಎನರ್ಜಿ ಇದ್ಯೋ ನಿನ್ನಲ್ಲಿ;Positive;
ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ;unknown_state;
best song ever;not-Kannada;
Swalpa jasti bildup ayitu annisutte.;Negative;
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.....nಅವನೇ ಶ್ರೀ ಮನ್ನಾರಾಯಣ...;Positive;
Super guru munduvarisi;Positive;
Tik tok super app anna;Positive;
Yan guru tik  tok  trolars mirisibite guru Tik Tok stars nin  video nodidre madiro videos muti muti nodkobeku Atara idea;Positive;
HistorynBefore sanvinAfter shanvi;unknown_state;
ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಇರುವಷ್ಟು ಹೊಟ್ಟೆಕಿಚ್ಚು ಜನಗಳು ಬೇರೆ ಯಾವ ಭಾಷೆಯಲ್ಲೂ ಸಿಗುವುದಿಲ್ಲ ಎಂಥ ದೊಡ್ಡ ವ್ಯಕ್ತಿ ಮಗ ಇವರು ಅಶ್ವಥ್ ಸಾರ್ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಮೇರು ನಟರು ಅವರ ಮಗನಿಗೆ ಇದೆಂಥಾ  ಪಜಿತಿ...ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಯಾರಿಗೆ ಯಾರೂ ಸಹಾಯ ಮಾಡುವುದಿಲ್ಲ ನೂರಾರು ಕೋಟಿ ಹಣವಿದ್ದರೂ ಅವರು ಸ್ವಾರ್ಥಿ ಗಳಾಗಿರುತ್ತಾರೆ ಇದೇ ಕಾರಣಕ್ಕೆ ರಜನಿಕಾಂತ್ ಅರ್ಜುನ್ ಸರ್ಜಾ ರಂತಹ ಮೇರು ನಟರು ನಮ್ಮ ಭಾಷೆ ಬಿಟ್ಟು  ಪರ ಬಾಷೆಗೆ ಹೋಗಿರುವುದು...;Negative;
ಸ್ವಾಭಿಮಾನಿ ದೇವತ ಪುರುಷನ ಮಗ... ತಕ್ಕಂತೆ ಇದಾರೆ;Positive;
Super song 100 days pakka;Positive;
Punyathma andre evare;Positive;
ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಚಿತ್ರವು ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲಿ ಎಂದು ಶುಭ ಕೋರುತ್ತೇವೆ ...............................ಚಿತ್ರದುರ್ಗ ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಬಳಗ;Positive;
Yudda maadabeku hogabaradu katukara(RASMIKA) nmunde BHAGAVTHGEETHE;unknown_state;
Trailer Kooda 6 dina Trending alli ittu;Positive;
KGF TERA BAAP HAI;not-Kannada;
Insta link akiddini nodi brother;Positive;
Promotion chennag madilla;Negative;
Super tippa story;Positive;
ಇದೇ ಥರ ಕನ್ನಡ  ಚಲನಚಿತ್ರಗಳು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ ಇದೆ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ  ಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ;Positive;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
@Nandi Parthasarathi ಲೆ ನೀನು ಒಳ್ಳೆಅವ್ಳು ಆದ್ರೆ ಸೈಡ್ ಗೇ ಇರು.... ಅದು ಬಿಟ್ಟು ತಿಕಾ ಎಲ್ಲಾ ಮಾತಾಡೋಕೆ ಬಂದ್ರೆ... ಗೊತ್ತಲಾ;Negative;
Super  bro;not-Kannada;
Kathe tumba ista aythu..;Positive;
@Hanumanthappa H S q1*50;unknown_state;
Love you boss;not-Kannada;
ಈ ಚಿತ್ರವನ್ನು ಮತ್ತೊಮ್ಮೆ ಚಿತ್ರಮಂದಿರಗಳಿಗೆ ತನ್ನಿ ನಮ್ಮ ಕನ್ನಡಿಗರು ಕೈಬಿಡುವುದಿಲ್ಲ ಮತ್ತೊಮ್ಮೆ ರಿಲೀಸ್ ಮಾಡಿ;Positive;
Yaaru Film nodkobandu keltiroru like maadi;Positive;
o my god wt a acting bro really my eyes are wet nice concept keep it up bro now a days alli avarage thumba bejar ago tara madatara jana naavu tilidu antavaru agi hag madidre hege heli naavu avara baavanegalige spandisibeku alva avaralli kuda thumba jana achive madidara tamil naadu alli oblu i.p.s agidale enu bala jana ne edara pls frds avarage naavu supportive agirbeku alva nice concept anna;Positive;
Super gelaya a nan sulege magalu chinadorage hutidale;Negative;
shankarnag sir & uppi sir nantara obb uttama actor & director sikkidane nam kannada industry ge Rakshit shatty;Positive;
Hands up !!!;unknown_state;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
Sir naanu helabekiddanna thumba channagi helidira. Nimma mathugalashte sumadura hrudaya sparshi agide. Pls yelladru nodi 1 sala adru. Olle anubhava beku antha iroru...;Positive;
ಬೋಡ ಶೀರಾ ಅಭಿಮಾನಗಳು ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ;Positive;
Super rakist  setty;not-Kannada;
ಬಹಳ  ಸೂಪರ್ ಗಿ  ಬೈದ್ದಿದ್ದಾರ   ಅಣ್ಣ;Positive;
sir in Mamata kotigobba;Positive;
Shivu Patil;unknown_state;
Hello Hindi song;unknown_state;
I feel sandalwood have not lost shankarnag after seeing RS2;Positive;
@Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba;Mixed_feelings;
Super video ಜೈ ಹಿಂದ್ ಜೈ ಭಾರತ ಮಾತೆ;Positive;
Super movie sir;not-Kannada;
Super  song;Positive;
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕನ್ನಡದ ಬೆಲೆ ಕಟ್ಟಲಾಗದ ಮಾಣಿಕ್ಯ;Positive;
ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ;Positive;
Yes bro tiktok ban agbeku.;Positive;
Anna super agi edit madidiya;Positive;
ಚಿನಾ ಎನನಾ ಉತ್ಪಾದನೆ  ಮಾಡಲಿ ನಿನು ನಿನದೇಶ ಉತ್ಪಾದನೆ ಮಾಡಿದ ವಸ್ತುಗಳು ಉಪಯೊಗಿಸು  ನಮ್ಮ ಗಿಂತ ದೊಡ್ಡದೆನು ಅಲ್ಲ  ಭಾರತೀಯರನ್ನು  ನಿನ್ನ ಅತಿ ಬುದಿವಂತಿಕೆಯಿಂದ ಕಿಂಚಪರಿಚಬೆಡ;Negative;
Supr song;not-Kannada;
Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP;Positive;
Pakka Engeneering Mind Bro ....Song;Positive;
ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದೀ ಬೆಷ್ಟ ಸೂಪರ್ ಟ್ರೇಲರ;Positive;
ನಿಮಗೆ ಭಗವಂತನ ಅನುಗ್ರಹ ಅನವರತ ಇರಲಿ.n....nಇವತ್ತಿಗೂ ನಮ್ಮದು ಮೈಸೂರು ಸಂಸ್ಥಾನವೇ. ಮಹಾರಾಜರನ್ನು ಹೊರಗಿಟ್ಟು ಈ ಕಳ್ಳ ರಾಜಕಾರಣಿಗಳು ಮಾಡುವ ದಸರಾ ಮೆರವಣಿಗೆನೂ ಒಂದು ಮೆರವಣಿಗೆನೇ? ಯಾವತ್ತೂ ಸಾಧ್ಯವಿಲ್ಲ.... ಇನ್ನಾದರೂ ಎಚ್ಛೆತ್ತು ಕೊಳ್ಳಿ...;Negative;
@TROLL MONSTER_KANNADA adikke hendhi kivi na hardu jail ge hoda sule maga yaruu;Negative;
Hands up nahi Hands down;unknown_state;
Osm voice sir;not-Kannada;
Just say WOW;not-Kannada;
Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide;Positive;
Wow .... diya soop.;Positive;
Moorne kgf 2;unknown_state;
ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..;Positive;
Super Answer s;not-Kannada;
Tiktok ....byan agiddu olledu aythu anna;Positive;
Supar sangs ..;Positive;
Yarige e trailer nodidre Rangitharanga movie nenpaytu like madi;Positive;
Bossu niv greatu;Positive;
@sathish chandra 🤣Naan kelv comment noDidakke heliddu;Mixed_feelings;
ಸೂಪರ್ ಸಾಂಗ್ ಹುಚ್ಚೆಬ್ಬಿಸುವ ಸಾಂಗ್;Positive;
Love u junior D Boss;not-Kannada;
Song is amazing;Positive;
BGM chindi;Positive;
Best film ide sirr love u alla ಯಾಕೆ ಇ film ಇಷ್ಟ ಅಂದ್ರೆ ಇದರಲ್ಲಿ ಬರುವ ಪಾತ್ರ ನಮ್ಮ್ಗ ಎನೂ link ಇದೇ ಅನ್ನೋ ಥರ ಇದೆ supper sir;Positive;
Bro aa game  name  heli;Mixed_feelings;
Super  song;not-Kannada;
@Raja Vishnuvardhana yarge agli 1st respect kododu mukya;Mixed_feelings;
Pora rai koodi tulla;not-Kannada;
ರಶ್ಮಿಕಾ ಮಂದಣ್ಣಳಿಗೆ ದೆಂ;unknown_state;
